repo_name,rank,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,reason_1,reason_2,reason_3,reason_1_factor,reason_2_factor,reason_3_factor,reason_1_value,reason_2_value,reason_3_value,stars,forks,created_at,funding_risk_level,category_potential_score,bsv_investment_score,innovation_score,competitive_advantage
zincsearch,47,0.32648338555263784,0.5657488995512527,0.13362659162376858,0.26654039518877276,0.5,1.0,,,,,,,,,,17539,759,2018-10-11T00:00:00Z,unknown,0.23625000000000002,0.3193177757296369,0.1575,0.2732165746352671
Graphite,48,0.32626106932361476,0.49048215167188847,0.17112733787422102,0.3033274433617992,0.5,1.0,,,,,,,,,,21086,889,2020-01-05T00:00:00Z,unknown,0.61125,0.3319077331554389,0.4075,0.28787834282878577
parlant,49,0.32551881959627205,0.5103723009410197,0.17412631490939243,0.2637830167510461,0.5,1.0,,,,,,,,,,11778,943,2020-02-21T00:00:00Z,unknown,0.584136,0.3283761450918676,0.4275,0.27723819285237933
agent-zero,50,0.32483871784403645,0.5208340635717993,0.16400086943049044,0.26494075500150244,0.5,1.0,,,,,,,,,,11709,2287,2017-05-04T00:00:00Z,unknown,0.54,0.3257897713010825,0.36000000000000004,0.27574346248715703
trigger.dev,51,0.3216993878846775,0.46624458767788496,0.1640007976832415,0.33112846254007705,0.5,1.0,,,,,,,,,,12252,811,2016-02-24T00:00:00Z,unknown,0.499464,0.33115279285185667,0.36000000000000004,0.29130062162490444
spicedb,52,0.3190604457905459,0.39451713188299986,0.16400050421646176,0.4255255226953061,0.5,1.0,,,,,,,,,,6017,341,2018-07-20T00:00:00Z,unknown,0.24116400000000004,0.3395368515976998,0.36000000000000004,0.31471383714130713
questdb,53,0.31667006168208206,0.4471681203197124,0.13362720962969357,0.39534370867145435,0.5,1.0,,,,,,,,,,16082,1472,2021-02-20T00:00:00Z,unknown,0.23625000000000002,0.32827292585110474,0.1575,0.30102199138440167
documenso,54,0.31578708991752863,0.5001370481100702,0.1336265619437761,0.31147675353498566,0.5,1.0,,,,,,,,,,11589,1960,2021-02-05T00:00:00Z,unknown,0.23625000000000002,0.3195328861870163,0.1575,0.27806873581351876
agentscope,55,0.31543815626172295,0.4714415700175929,0.17412600459081334,0.2717764171005986,0.5,1.0,,,,,,,,,,11099,764,2018-11-09T00:00:00Z,unknown,0.53980425,0.32514314531654426,0.4275,0.27264928268008337
superagent,56,0.3127135666081661,0.44955748644650306,0.16400044890617876,0.31123070555871835,0.5,1.0,,,,,,,,,,6118,937,2017-07-10T00:00:00Z,unknown,0.287712,0.32556860493662115,0.36000000000000004,0.28000395907525943
skypilot,57,0.312297147275271,0.4834395916400757,0.164000843850884,0.25832466121447367,0.5,1.0,,,,,,,,,,8697,771,2019-05-21T00:00:00Z,unknown,0.36860400000000004,0.32011152755576794,0.36000000000000004,0.2656181203541582
sim,58,0.31024038217655564,0.4590822171601958,0.16400142290434785,0.28457573933378877,0.5,1.0,,,,,,,,,,14774,1835,2019-03-17T00:00:00Z,unknown,0.54,0.3219140683010446,0.36000000000000004,0.2712473083272938
marqo,59,0.3076830870841564,0.4021450886830725,0.16400037275069765,0.35719705689477804,0.5,1.0,,,,,,,,,,4938,214,2017-11-21T00:00:00Z,unknown,0.19317600000000001,0.3281530299833078,0.36000000000000004,0.2889079895948048
ragas,60,0.3075604933521437,0.4113340511345031,0.17412616674298328,0.3225490565729973,0.5,1.0,,,,,,,,,,10681,1070,2020-01-15T00:00:00Z,unknown,0.54809775,0.3270693830164732,0.4275,0.2809368995532929
firezone,61,0.30693901834707954,0.1782954746504309,0.13362593987987567,0.75,0.5,1.0,Strong growth performance,Strong community adoption and growth signals,,market_adoption_growth,market_adoption,,0.75,0.75,,7506,334,2020-11-05T00:00:00Z,unknown,0.1287405,0.35984583291000194,0.1575,0.3891094708820365
lago,62,0.30610470418349567,0.4953659458061827,0.1336258491720002,0.2702229038642039,0.5,1.0,,,,,,,,,,8446,441,2019-08-13T00:00:00Z,unknown,0.146916,0.3115343758610987,0.1575,0.26061269037571816
typesense,63,0.30580148533834806,0.48926272940258214,0.13362677712475957,0.2778597783383479,0.5,1.0,,,,,,,,,,24317,807,2017-01-16T00:00:00Z,unknown,0.23625000000000002,0.31217699847911634,0.1575,0.26244716806575946
hatchet,64,0.30504084446993357,0.39310295255523664,0.1336256050905466,0.41829858333571956,0.5,1.0,,,,,,,,,,6019,262,2019-09-28T00:00:00Z,unknown,0.10305225,0.32591634134327657,0.1575,0.2993902658815538
arroyo,65,0.30257149613079953,0.39179247221204355,0.17112535729586195,0.3329180577442087,0.5,1.0,,,,,,,,,,4515,303,2018-04-25T00:00:00Z,unknown,0.20868075,0.3253904899777476,0.4075,0.279975860458437
hyperdx,66,0.30241421114602124,0.4614480800600845,0.13362570797178608,0.30264751969640746,0.5,1.0,,,,,,,,,,8847,307,2018-01-13T00:00:00Z,unknown,0.14901075,0.31330060634127793,0.1575,0.2667989070792943
vocode-core,67,0.29984362486499566,0.37562308928961513,0.1741253089501641,0.33753287249022745,0.5,1.0,,,,,,,,,,3440,622,2019-05-26T00:00:00Z,unknown,0.200241,0.3254808113430604,0.4275,0.27978789043407964
shuttle,68,0.2995421192352129,0.3981484470268332,0.13362560994827452,0.3832367057392657,0.5,1.0,,,,,,,,,,6650,277,2019-02-14T00:00:00Z,unknown,0.11346300000000001,0.3202106646555976,0.1575,0.28637461568038275
jitsu,69,0.2989329605949157,0.36928712256712093,0.17112551016675537,0.34848309879038636,0.5,1.0,,,,,,,,,,4398,315,2020-09-04T00:00:00Z,unknown,0.204891,0.3254916165570262,0.4075,0.28170086809628087
rowy,70,0.29522999248218607,0.4309830296688644,0.13362549849300906,0.3124244209216157,0.5,1.0,,,,,,,,,,6729,539,2017-07-19T00:00:00Z,unknown,0.12296025,0.3114045587233582,0.1575,0.2646165736996228
fonoster,71,0.29109009218374365,0.4328423476725922,0.13362551566838263,0.2889359080730645,0.5,1.0,,,,,,,,,,6997,417,2017-06-26T00:00:00Z,unknown,0.12333825000000001,0.30739975144121573,0.1575,0.2555930390310973
dia,72,0.28947538828730796,0.45341636357886506,0.1336261980341211,0.25,0.5,1.0,,,,,,,,,,18336,1559,2016-01-27T00:00:00Z,unknown,0.23625000000000002,0.30286044284311225,0.1575,0.2441337519294215
supertokens-core,73,0.28743790081350584,0.4303336476622016,0.13362609413806345,0.2744368442980999,0.5,1.0,,,,,,,,,,14498,609,2017-06-01T00:00:00Z,unknown,0.23625000000000002,0.30448910734834755,0.1575,0.24929190490690567
SuperClaude_Framework,74,0.2853138474248687,0.43953033761147464,0.13362613653982977,0.2500214576274719,0.5,1.0,,,,,,,,,,15411,1371,2017-03-17T00:00:00Z,unknown,0.23625000000000002,0.3011979575022538,0.1575,0.2413651051892156
bytebot,75,0.2816465412766844,0.3860391361468231,0.16400047377158916,0.25117305462000905,0.5,1.0,,,,,,,,,,6728,733,2017-02-14T00:00:00Z,unknown,0.294984,0.307136035677856,0.36000000000000004,0.24327723858600392
serena,76,0.2788580821713098,0.4109327807776449,0.1336264938189329,0.260638252052216,0.5,1.0,,,,,,,,,,12124,832,2020-08-28T00:00:00Z,unknown,0.217161,0.29967741659028946,0.1575,0.23989245450398855
chatterbox,77,0.27855961190820444,0.4160304121273563,0.13362627994604828,0.2514998814578913,0.5,1.0,,,,,,,,,,12662,1606,2019-07-18T00:00:00Z,unknown,0.23625000000000002,0.2986441400961225,0.1575,0.23725654698704712
jaaz,78,0.27725109123245023,0.39921965599923726,0.13362535114140608,0.2701752698805831,0.5,1.0,,,,,,,,,,4313,354,2018-07-22T00:00:00Z,unknown,0.07908075,0.2999880477549759,0.1575,0.24136417960864315
stagewise,79,0.27225382678164084,0.3684174532330609,0.13362551275143517,0.29139192855574253,0.5,1.0,,,,,,,,,,6138,366,2018-07-08T00:00:00Z,unknown,0.10820250000000001,0.30011084662857507,0.1575,0.24369046716948328
LEANN,80,0.2702883735459272,0.3871220204776412,0.13362518185510014,0.25350847330297405,0.5,1.0,,,,,,,,,,2516,232,2018-04-06T00:00:00Z,unknown,0.046935,0.29553624039389237,0.1575,0.23227786615875795
windmill,81,0.26981362373386214,0.21782287995383406,0.16400241478388294,0.4443289691707938,0.5,1.0,,,,,,,,,,14570,786,2021-12-06T00:00:00Z,unknown,0.54,0.3217189259587561,0.36000000000000004,0.2868971295726375
hexstrike-ai,82,0.26927402421075697,0.332066942167607,0.17412521204158077,0.2500192837192127,0.5,1.0,,,,,,,,,,2791,675,2018-06-27T00:00:00Z,unknown,0.17702775,0.30450158894620344,0.4275,0.2360711867378388
rowboat,83,0.26850142507887675,0.3277994666482797,0.16400029459880539,0.27280733622435355,0.5,1.0,,,,,,,,,,3466,317,2019-01-13T00:00:00Z,unknown,0.1476,0.30404137435769935,0.36000000000000004,0.2402829456589195
OpenPipe,84,0.2600042427390183,0.2770836129644425,0.13362520970142883,0.3671453748455702,0.5,1.0,,,,,,,,,,2730,160,2018-08-05T00:00:00Z,unknown,0.0480375,0.3027862849085073,0.1575,0.25572495641168813
superglue,85,0.259825391303583,0.3187742884346155,0.1336251985836734,0.30371512669864503,0.5,1.0,,,,,,,,,,1904,99,2020-11-15T00:00:00Z,unknown,0.0331065,0.29637171685137936,0.1575,0.23869098779985048
pg_mooncake,86,0.25622998625659,0.27607209179318465,0.17112512271852093,0.274791548156131,0.5,1.0,,,,,,,,,,1665,46,2019-02-21T00:00:00Z,unknown,0.07159774999999999,0.3010411787706941,0.4075,0.2335810867084977
ros-mcp-server,87,0.2545909994209631,0.28165626228302215,0.174125,0.2522206036802822,0.5,1.0,,,,,,,,,,414,70,2018-08-20T00:00:00Z,unknown,0.0236835,0.2988484601364135,0.4275,0.2268694939287173
MiniMax-01,88,0.24828024107892088,0.3161004891419334,0.1336252358408522,0.25,0.5,1.0,,,,,,,,,,3139,289,2018-04-07T00:00:00Z,unknown,0.05854275,0.2863821530333729,0.1575,0.21667019216472755
web-eval-agent,89,0.24413408964861794,0.30109319766222986,0.1336250789952987,0.2517804937591474,0.5,1.0,,,,,,,,,,1181,97,2019-06-15T00:00:00Z,unknown,0.021656250000000002,0.2849017041942336,0.1575,0.21438086863422443
evidently,90,0.24204995025145298,0.17062061846642518,0.17412578615010754,0.3560672512574121,0.5,1.0,,,,,,,,,,6600,723,2020-08-21T00:00:00Z,unknown,0.3439665,0.30421689390234824,0.4275,0.24620133865629293
PageIndex,91,0.23371002312385403,0.2675330584830558,0.13362526394734325,0.25,0.5,1.0,,,,,,,,,,2464,190,2020-09-14T00:00:00Z,unknown,0.044793,0.280554072596904,0.1575,0.20695671727554849
sirius,92,0.2067164239472699,0.15155573294892496,0.13362500203506508,0.28899851624283196,0.5,1.0,,,,,,,,,,436,11,2018-09-29T00:00:00Z,unknown,0.0072135,0.2736564216916068,0.1575,0.19936055390094382
TokenDagger,93,0.20477421905841459,0.13058072599459675,0.16400000315008897,0.25,0.5,1.0,,,,,,,,,,451,10,2018-02-21T00:00:00Z,unknown,0.016956000000000002,0.2762696883793872,0.36000000000000004,0.19171614645895496
livestore,94,0.1999596838364472,0.10612718427441174,0.13362523259090792,0.3233571775888026,0.5,1.0,,,,,,,,,,2965,88,2018-08-23T00:00:00Z,unknown,0.04947075,0.274389647115277,0.1575,0.20401840092676657
semaphore,95,0.17165839421665807,0.053053536422677613,0.13362509784893423,0.26146147075140547,0.5,1.0,,,,,,,,,,1300,62,2019-11-16T00:00:00Z,unknown,0.022428,0.256879528245548,0.1575,0.16864533472467141
sqlcoder,96,0.17112876733098398,0.0028459639062521974,0.17412539288892298,0.25312410501769544,0.5,1.0,,,,,,,,,,3883,262,2020-01-08T00:00:00Z,unknown,0.18839925,0.26555401172750465,0.4275,0.17146899194389784
kernel-images,97,0.1588121122965669,0.0,0.13362500882333703,0.2768105438361603,0.5,1.0,,,,,,,,,,523,27,2017-10-01T00:00:00Z,unknown,0.00908775,0.2532759014198437,0.1575,0.16417422106379895
