repository,llm_preference_score,innovation_reasoning,llm_rank
OpenPipe/OpenPipe,0.16573115994746257,Standard development project,82
livestorejs/livestore,0.1652203111890335,Standard development project,83
rivet-gg/rivet,0.16111097886998535,Standard development project,84
0x4m4/hexstrike-ai,0.1573898831702161,Standard development project,85
robotmcp/ros-mcp-server,0.1565022818560829,Standard development project,86
defog-ai/sqlcoder,0.15551970659613093,Standard development project,87
Eventual-Inc/Daft,0.15379963668151483,Standard development project,88
superglue-ai/superglue,0.15215459257982916,Standard development project,89
Helicone/helicone,0.1507989956237947,Standard development project,90
semaphoreio/semaphore,0.1474139518502191,Standard development project,91
fern-api/fern,0.14658180237319582,Standard development project,92
VectifyAI/PageIndex,0.14427578728375648,Standard development project,93
marqo-ai/marqo,0.1438429549814336,Standard development project,94
Operative-Sh/web-eval-agent,0.13980452150649567,Standard development project,95
yichuan-w/LEANN,0.13930748514685123,Standard development project,96
Mooncake-Labs/pg_mooncake,0.1313315055944195,Standard development project,97
M4THYOU/TokenDagger,0.12889545093080418,Standard development project,98
sirius-db/sirius,0.11943814304457019,Standard development project,99
onkernel/kernel-images,0.11593989443921401,Standard development project,100
