repository,owner,repo_name,github_url,description,stars,issues,pull_requests,forks,website,dataset_index
agentscope-ai/agentscope,agentscope-ai,agentscope,https://github.com/agentscope-ai/agentscope,AgentScope: Agent-Oriented Programming for Building LLM Applications,11099,725,494,764,https://doc.agentscope.io/,21
agent0ai/agent-zero,agent0ai,agent-zero,https://github.com/agent0ai/agent-zero,Agent Zero AI framework,11709,647,318,2287,https://agent-zero.ai,22
dyad-sh/dyad,dyad-sh,dyad,https://github.com/dyad-sh/dyad,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",14680,1204,495,1475,https://dyad.sh,23
GraphiteEditor/Graphite,GraphiteEditor,Graphite,https://github.com/GraphiteEditor/Graphite,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",21086,3100,1884,889,https://graphite.rs,24
livestorejs/livestore,livestorejs,livestore,https://github.com/livestorejs/livestore,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,2965,606,333,88,https://livestore.dev,25
pathwaycom/pathway,pathwaycom,pathway,https://github.com/pathwaycom/pathway,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",42443,112,14,1292,https://pathway.com,26
onlook-dev/onlook,onlook-dev,onlook,https://github.com/onlook-dev/onlook,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",22447,2718,1878,1554,https://onlook.com,27
SuperClaude-Org/SuperClaude_Framework,SuperClaude-Org,SuperClaude_Framework,https://github.com/SuperClaude-Org/SuperClaude_Framework,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",15411,245,103,1371,https://superclaude.netlify.app/,28
MiniMax-AI/MiniMax-01,MiniMax-AI,MiniMax-01,https://github.com/MiniMax-AI/MiniMax-01,"The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model based on Linear Attention",3139,53,13,289,https://www.minimax.io/,29
windmill-labs/windmill,windmill-labs,windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",14570,6416,5267,786,https://windmill.dev,30
Skyvern-AI/skyvern,Skyvern-AI,skyvern,https://github.com/Skyvern-AI/skyvern,Automate browser-based workflows with LLMs and Computer Vision,14240,3304,3091,1196,https://www.skyvern.com,31
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,https://github.com/triggerdotdev/trigger.dev,Trigger.dev – build and deploy fully‑managed AI agents and workflows,12252,2408,1854,811,https://trigger.dev/changelog,32
keephq/keep,keephq,keep,https://github.com/keephq/keep,The open-source AIOps and alert management platform,10658,5229,2911,1053,https://keephq.dev,33
explodinggradients/ragas,explodinggradients,ragas,https://github.com/explodinggradients/ragas,Supercharge Your LLM Application Evaluations 🚀,10681,2219,1129,1070,https://docs.ragas.io,34
activeloopai/deeplake,activeloopai,deeplake,https://github.com/activeloopai/deeplake,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",8812,3006,2552,677,https://activeloop.ai,35
hyperdxio/hyperdx,hyperdxio,hyperdx,https://github.com/hyperdxio/hyperdx,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",8847,1112,955,307,https://hyperdx.io/,36
highlight/highlight,highlight,highlight,https://github.com/highlight/highlight,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",8656,9845,7427,456,https://app.highlight.io,37
getlago/lago,getlago,lago,https://github.com/getlago/lago,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",8446,514,361,441,https://www.getlago.com,38
paradedb/paradedb,paradedb,paradedb,https://github.com/paradedb/paradedb,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",7730,3008,2328,273,https://paradedb.com,39
firezone/firezone,firezone,firezone,https://github.com/firezone/firezone,Enterprise-ready zero-trust access platform built on WireGuard®.,7506,9831,7326,334,https://www.firezone.dev,40
growthbook/growthbook,growthbook,growthbook,https://github.com/growthbook/growthbook,Open Source Feature Flagging and A/B Testing Platform,6847,4516,3321,596,https://www.growthbook.io,41
shuttle-hq/shuttle,shuttle-hq,shuttle,https://github.com/shuttle-hq/shuttle,Build & ship backends without writing any infrastructure files.,6650,2006,1697,277,https://shuttle.dev,42
evidentlyai/evidently,evidentlyai,evidently,https://github.com/evidentlyai/evidently,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",6600,1702,1254,723,https://discord.gg/xZjKRaNp8b,43
traceloop/openllmetry,traceloop,openllmetry,https://github.com/traceloop/openllmetry,"Open-source observability for your LLM application, based on OpenTelemetry",6389,3308,3063,798,https://www.traceloop.com/openllmetry,44
superagent-ai/superagent,superagent-ai,superagent,https://github.com/superagent-ai/superagent,The worlds first purpose-built firewall for AI,6118,1009,631,937,https://superagent.sh,45
authzed/spicedb,authzed,spicedb,https://github.com/authzed/spicedb,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",6017,2409,1962,341,https://authzed.com/docs,46
hatchet-dev/hatchet,hatchet-dev,hatchet,https://github.com/hatchet-dev/hatchet,🪓 Run Background Tasks at Scale,6019,2202,1996,262,https://hatchet.run,47
NangoHQ/nango,NangoHQ,nango,https://github.com/NangoHQ/nango,A single API for all your integrations.,5848,4601,3794,543,https://www.nango.dev,48
lightdash/lightdash,lightdash,lightdash,https://github.com/lightdash/lightdash,Self-serve BI to 10x your data team ⚡️,5090,9854,8714,611,https://lightdash.com,49
ArroyoSystems/arroyo,ArroyoSystems,arroyo,https://github.com/ArroyoSystems/arroyo,Distributed stream processing engine in Rust,4515,901,702,303,https://arroyo.dev,50
Helicone/helicone,Helicone,helicone,https://github.com/Helicone/helicone,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",4488,4201,4499,433,https://www.helicone.ai,51
rivet-gg/rivet,rivet-gg,rivet,https://github.com/rivet-gg/rivet,Scale and orchestrate RivetKit,4366,2800,2505,113,https://rivet.gg,52
defog-ai/sqlcoder,defog-ai,sqlcoder,https://github.com/defog-ai/sqlcoder,SoTA LLM for converting natural language questions to SQL queries,3883,125,11,262,,53
requestly/requestly,requestly,requestly,https://github.com/requestly/requestly,Free and open-source API Client & Interceptor.,3976,3405,2843,335,https://requestly.com,54
vocodedev/vocode-core,vocodedev,vocode-core,https://github.com/vocodedev/vocode-core,🤖 Build voice-based LLM agents. Modular + open source.,3440,717,568,622,https://vocode.dev,55
fern-api/fern,fern-api,fern,https://github.com/fern-api/fern,Input OpenAPI. Output SDKs and Docs.,3308,9300,8033,244,https://buildwithfern.com,56
OpenPipe/OpenPipe,OpenPipe,OpenPipe,https://github.com/OpenPipe/OpenPipe,Turn expensive prompts into cheap fine-tuned models,2730,700,644,160,https://openpipe.ai,57
questdb/questdb,questdb,questdb,https://github.com/questdb/questdb,"QuestDB is a high performance, open-source, time-series database",16082,5925,3811,1472,https://questdb.com,58
langfuse/langfuse,langfuse,langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",16053,6815,5100,1497,https://langfuse.com/docs,59
supertokens/supertokens-core,supertokens,supertokens-core,https://github.com/supertokens/supertokens-core,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,14498,1111,636,609,https://supertokens.com,60
Eventual-Inc/Daft,Eventual-Inc,Daft,https://github.com/Eventual-Inc/Daft,Distributed query engine providing simple and reliable data processing for any modality and scale,4337,5003,3778,296,https://daft.ai,61
bytebot-ai/bytebot,bytebot-ai,bytebot,https://github.com/bytebot-ai/bytebot,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.",6728,111,72,733,https://www.bytebot.ai/,62
kestra-io/kestra,kestra-io,kestra,https://github.com/kestra-io/kestra,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",21129,9823,6762,1809,https://kestra.io,63
emcie-co/parlant,emcie-co,parlant,https://github.com/emcie-co/parlant,LLM agents built for control. Designed for real-world use. Deployed in minutes.,11778,504,412,943,https://www.parlant.io,64
documenso/documenso,documenso,documenso,https://github.com/documenso/documenso,The Open Source DocuSign Alternative.,11589,1822,1296,1960,https://documenso.com,65
makeplane/plane,makeplane,plane,https://github.com/makeplane/plane,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",38697,7600,6270,2687,http://plane.so,66
formbricks/formbricks,formbricks,formbricks,https://github.com/formbricks/formbricks,Open Source Qualtrics Alternative,11241,6218,4096,1990,https://formbricks.com,67
erxes/erxes,erxes,erxes,https://github.com/erxes/erxes,Source available experience management infrastructure. Pioneering the future of experiences with XOS (Experience Operating System). Hubspot + Qualtrics alternative,3681,6001,3772,1166,https://erxes.io,68
novuhq/novu,novuhq,novu,https://github.com/novuhq/novu,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",37755,8900,7309,4110,https://novu.co,69
knadh/listmonk,knadh,listmonk,https://github.com/knadh/listmonk,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",17782,2550,614,1740,https://listmonk.app,70
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",31942,5322,3243,1952,http://docs.paperless-ngx.com/,71
OpenBB-finance/OpenBB,OpenBB-finance,OpenBB,https://github.com/OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",52175,6922,4734,4954,https://openbb.co,72
rowyio/rowy,rowyio,rowy,https://github.com/rowyio/rowy,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.",6729,1115,721,539,http://rowy.io,73
Infisical/infisical,Infisical,infisical,https://github.com/Infisical/infisical,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",20053,4209,3238,1349,https://infisical.com,74
teableio/teable,teableio,teable,https://github.com/teableio/teable,✨ The Next Gen Airtable Alternative: No-Code Postgres,19482,1715,1394,1021,https://teable.ai,75
logto-io/logto,logto-io,logto,https://github.com/logto-io/logto,"🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",10748,7617,6960,615,https://logto.io,76
Unleash/unleash,Unleash,unleash,https://github.com/Unleash/unleash,Open-source feature management platform,12608,9804,9686,792,https://www.getunleash.io,77
appsmithorg/appsmith,appsmithorg,appsmith,https://github.com/appsmithorg/appsmith,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",37945,9852,17461,4228,https://www.appsmith.com,78
ToolJet/ToolJet,ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",36445,9841,8798,4742,https://tooljet.ai,79
fonoster/fonoster,fonoster,fonoster,https://github.com/fonoster/fonoster,🚀 The open-source alternative to Twilio.,6997,700,550,417,https://fonoster.com,80
jitsucom/jitsu,jitsucom,jitsu,https://github.com/jitsucom/jitsu,"Jitsu is an open-source Segment alternative. Fully-scriptable data ingestion engine for modern data teams. Set-up a real-time data pipeline in minutes, not days",4398,1213,623,315,https://jitsu.com,81
Avaiga/taipy,Avaiga,taipy,https://github.com/Avaiga/taipy,Turns Data and AI algorithms into production-ready web applications in no time.,18618,2526,1512,1926,https://www.taipy.io,82
go-skynet/LocalAI,go-skynet,LocalAI,https://github.com/go-skynet/LocalAI,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",35178,5901,4796,2759,https://localai.io,83
chroma-core/chroma,chroma-core,chroma,https://github.com/chroma-core/chroma,Open-source search and retrieval database for AI applications.,23247,5404,3965,1822,https://www.trychroma.com/,84
weaviate/weaviate,weaviate,weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",14550,9101,6524,1076,https://weaviate.io/developers/weaviate/,85
qdrant/qdrant,qdrant,qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",25875,6816,5314,1809,https://qdrant.tech,86
milvus-io/milvus,milvus-io,milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",37128,9815,26649,3391,https://milvus.io,87
marqo-ai/marqo,marqo-ai,marqo,https://github.com/marqo-ai/marqo,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,4938,1204,1030,214,https://www.marqo.ai/,88
typesense/typesense,typesense,typesense,https://github.com/typesense/typesense,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",24317,2503,761,807,https://typesense.org,89
zincsearch/zincsearch,zincsearch,zincsearch,https://github.com/zincsearch/zincsearch,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",17539,923,635,759,https://zincsearch-docs.zinc.dev,90
quickwit-oss/quickwit,quickwit-oss,quickwit,https://github.com/quickwit-oss/quickwit,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",10402,5804,3404,485,https://quickwit.io,91
openobserve/openobserve,openobserve,openobserve,https://github.com/openobserve/openobserve,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay).",16557,8213,5494,650,https://openobserve.ai,92
grafana/loki,grafana,loki,https://github.com/grafana/loki,"Like Prometheus, but for logs.",26413,9830,13629,3782,https://grafana.com/loki,93
VictoriaMetrics/VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",14986,9201,4887,1456,https://victoriametrics.com/,94
cortexproject/cortex,cortexproject,cortex,https://github.com/cortexproject/cortex,"A horizontally scalable, highly available, multi-tenant, long term Prometheus.",5671,6900,4931,831,https://cortexmetrics.io/,95
thanos-io/thanos,thanos-io,thanos,https://github.com/thanos-io/thanos,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,13695,7917,5096,2203,https://thanos.io,96
m3db/m3,m3db,m3,https://github.com/m3db/m3,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible, Metrics Platform",4847,4305,3713,464,https://m3db.io/,97
skypilot-org/skypilot,skypilot-org,skypilot,https://github.com/skypilot-org/skypilot,"Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem).",8697,343,143,771,https://docs.skypilot.co/en/latest/docs/index.html,98
semaphoreio/semaphore,semaphoreio,semaphore,https://github.com/semaphoreio/semaphore,Semaphore is an open source CI/CD platform. Self-host Semaphore on your own servers or on a cloud provider.,1300,76,13,62,https://semaphore.io/,99
robotmcp/ros-mcp-server,robotmcp,ros-mcp-server,https://github.com/robotmcp/ros-mcp-server,Connect AI models like Claude & GPT with robots using MCP and ROS.,414,11,2,70,,100
