repository,owner,repo_name,github_url,dataset_index,stars,forks,issues,pull_requests,description,website,watchers,contributors_count,releases_count,fork_ratio,issue_ratio,pr_ratio,engagement_score,created_at,pushed_at,updated_at,language,has_issues,has_projects,has_wiki,has_pages,private,fork,archived,disabled,size,open_issues_count,default_branch,license,topics,visibility,homepage,popularity_tier,activity_level,maturity_level,community_health,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
twentyhq/twenty,twentyhq,twenty,https://github.com/twentyhq/twenty,11,35390,4130,9821,8397,"Building a modern alternative to Salesforce, powered by the community.",https://twenty.com,3539,1239,35,0.11669963266459452,0.27750777055665443,0.2372704153715739,0.24549655854981067,2018-04-05T00:00:00Z,2025-08-28T14:36:24Z,2025-08-22T14:36:24Z,JavaScript,True,True,True,True,False,False,False,False,3539,2946,main,MIT,[],public,https://twenty.com,viral,very_high,mature,0.7091777338231139,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
boundaryml/baml,boundaryml,baml,https://github.com/boundaryml/baml,12,5778,270,2404,1812,The AI framework that adds the engineering to prompt engineering (Python/TS/Ruby/Java/C#/Rust/Go compatible),https://docs.boundaryml.com,577,81,5,0.04672897196261682,0.41606092073381795,0.31360332294911736,0.3526580713432701,2019-07-10T00:00:00Z,2025-07-14T14:36:24Z,2025-06-29T14:36:24Z,Rust,True,True,True,True,False,False,False,False,577,721,main,BSD-3-Clause,"['ai', 'framework']",public,https://docs.boundaryml.com,established,moderate,growing,0.7594323295257874,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
stagewise-io/stagewise,stagewise-io,stagewise,https://github.com/stagewise-io/stagewise,13,6138,366,605,552,stagewise is the first frontend coding agent for existing production-grade web apps 🪄  -- Lives inside your browser 💻 -- Makes changes in local codebase 🤓 -- Compatible with all kinds of frameworks and setups 💪,https://stagewise.io,613,109,6,0.059628543499511244,0.0985663082437276,0.08993157380254155,0.08278385711148518,2018-07-08T00:00:00Z,2025-04-07T14:36:24Z,2025-07-18T14:36:24Z,Java,True,True,True,True,False,False,False,False,613,181,main,MIT,"['web', 'framework']",public,https://stagewise.io,established,moderate,growing,0.3476702508960573,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.7500000000000001,0.0,0.0,0,0.6206896551724139,0.6206896551724137,0.6206896551724137
M4THYOU/TokenDagger,M4THYOU,TokenDagger,https://github.com/M4THYOU/TokenDagger,14,451,10,4,0,High-Performance Implementation of OpenAI's TikToken.,,45,3,1,0.022172949002217297,0.008869179600886918,0.0,0.0,2018-02-21T00:00:00Z,2024-12-26T14:36:24Z,2024-12-26T14:36:24Z,JavaScript,True,False,False,False,False,False,False,False,100,1,main,MIT,['ai'],public,,emerging,minimal,early,0.1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.6844986706679748,0.6844986706679748
CopilotKit/CopilotKit,CopilotKit,CopilotKit,https://github.com/CopilotKit/CopilotKit,15,22858,3081,2403,1818,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",https://docs.copilotkit.ai,2285,924,22,0.1347886954239216,0.10512730772596028,0.07953451745559542,0.08087085418761157,2021-11-12T00:00:00Z,2025-07-18T14:36:24Z,2025-08-01T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,2285,720,main,MIT,['ai'],public,https://docs.copilotkit.ai,popular,moderate,developing,0.3592702773645989,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
onkernel/kernel-images,onkernel,kernel-images,https://github.com/onkernel/kernel-images,16,523,27,9,59,Browsers-as-a-service for automations and web agents,https://www.onkernel.com,52,8,1,0.05162523900573614,0.017208413001912046,0.11281070745697896,0.05362108767232079,2017-10-01T00:00:00Z,2025-04-30T14:36:24Z,2025-05-17T14:36:24Z,TypeScript,True,False,True,True,False,False,False,False,100,2,main,BSD-3-Clause,['web'],public,https://www.onkernel.com,emerging,minimal,early,0.281453154875717,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.6918771594234168,0.691877159423417
superglue-ai/superglue,superglue-ai,superglue,https://github.com/superglue-ai/superglue,17,1904,99,203,250,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",https://superglue.ai,190,29,1,0.051995798319327734,0.10661764705882353,0.13130252100840337,0.10743025339729012,2020-11-15T00:00:00Z,2025-04-23T14:36:24Z,2025-06-19T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,190,60,main,MIT,"['api', 'database']",public,https://superglue.ai,established,low,growing,0.3725840336134454,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
Operative-Sh/web-eval-agent,Operative-Sh,web-eval-agent,https://github.com/Operative-Sh/web-eval-agent,18,1181,97,11,24,An MCP server that autonomously evaluates web applications. ,https://www.operative.sh/mcp,118,29,1,0.0821337849280271,0.009314140558848433,0.02032176121930567,0.003560987518294876,2019-06-15T00:00:00Z,2025-01-29T14:36:24Z,2024-12-09T14:36:24Z,Rust,True,True,True,True,False,False,False,False,118,3,main,Apache-2.0,['web'],public,https://www.operative.sh/mcp,established,minimal,early,0.27417442845046575,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
yichuan-w/LEANN,yichuan-w,LEANN,https://github.com/yichuan-w/LEANN,19,2516,232,40,52,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",,251,69,2,0.09220985691573927,0.01589825119236884,0.02066772655007949,0.007016946605948129,2018-04-06T00:00:00Z,2024-12-08T14:36:24Z,2025-04-24T14:36:24Z,Go,True,True,True,False,False,False,False,False,251,12,main,MIT,[],public,,established,minimal,growing,0.3100158982511923,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
sirius-db/sirius,sirius-db,sirius,https://github.com/sirius-db/sirius,20,436,11,45,33,,https://www.sirius-db.com,43,3,1,0.02522935779816514,0.10321100917431193,0.07568807339449542,0.07799703248566396,2018-09-29T00:00:00Z,2025-05-05T14:36:24Z,2025-08-03T14:36:24Z,JavaScript,True,False,False,True,False,False,False,False,100,13,main,MIT,[],public,https://www.sirius-db.com,emerging,minimal,early,0.23394495412844035,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
agentscope-ai/agentscope,agentscope-ai,agentscope,https://github.com/agentscope-ai/agentscope,21,11099,764,725,494,AgentScope: Agent-Oriented Programming for Building LLM Applications,https://doc.agentscope.io/,1109,229,11,0.06883503018289935,0.06532120010811784,0.04450851428056582,0.04355283420119729,2018-11-09T00:00:00Z,2025-04-19T14:36:24Z,2025-05-20T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1109,217,main,MIT,[],public,https://doc.agentscope.io/,popular,moderate,developing,0.30327056491575816,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
agent0ai/agent-zero,agent0ai,agent-zero,https://github.com/agent0ai/agent-zero,22,11709,2287,647,318,Agent Zero AI framework,https://agent-zero.ai,1170,686,11,0.1953198394397472,0.055256640191305835,0.027158595951831923,0.029881510003004933,2017-05-04T00:00:00Z,2025-04-19T14:36:24Z,2024-12-06T14:36:24Z,Java,True,True,True,True,False,False,False,False,1170,194,main,Apache-2.0,"['ai', 'framework']",public,https://agent-zero.ai,popular,low,developing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
dyad-sh/dyad,dyad-sh,dyad,https://github.com/dyad-sh/dyad,23,14680,1475,1204,495,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",https://dyad.sh,1468,442,14,0.10047683923705722,0.08201634877384197,0.03371934604904632,0.04649808716209617,2018-06-04T00:00:00Z,2025-03-29T14:36:24Z,2025-06-14T14:36:24Z,Java,True,True,True,True,False,False,False,False,1468,361,main,MIT,['ai'],public,https://dyad.sh,popular,moderate,developing,0.39790190735694825,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
GraphiteEditor/Graphite,GraphiteEditor,Graphite,https://github.com/GraphiteEditor/Graphite,24,21086,889,3100,1884,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",https://graphite.rs,2108,266,21,0.04216067532960258,0.14701697808972777,0.089348382813241,0.10665488672359835,2020-01-05T00:00:00Z,2025-04-10T14:36:24Z,2025-05-03T14:36:24Z,JavaScript,True,True,True,True,False,False,False,False,2108,930,main,BSD-3-Clause,[],public,https://graphite.rs,popular,moderate,developing,0.33344399127383095,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,1.0,0,0.1724137931034483,0.17241379310344812,0.17241379310344804
livestorejs/livestore,livestorejs,livestore,https://github.com/livestorejs/livestore,25,2965,88,606,333,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,https://livestore.dev,296,26,2,0.029679595278246207,0.20438448566610457,0.11231028667790893,0.1467143551776052,2018-08-23T00:00:00Z,2025-08-11T14:36:24Z,2025-07-01T14:36:24Z,Go,True,True,True,True,False,False,False,False,296,181,main,BSD-3-Clause,"['database', 'framework']",public,https://livestore.dev,established,low,growing,0.3648566610455312,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
pathwaycom/pathway,pathwaycom,pathway,https://github.com/pathwaycom/pathway,26,42443,1292,112,14,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",https://pathway.com,4244,387,42,0.03044082652027425,0.0026388332587234642,0.00032985415734043303,0.0,2018-01-23T00:00:00Z,2025-06-21T14:36:24Z,2024-09-24T14:36:24Z,Python,True,True,True,True,False,False,False,False,4244,33,main,Apache-2.0,['framework'],public,https://pathway.com,viral,low,mature,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
onlook-dev/onlook,onlook-dev,onlook,https://github.com/onlook-dev/onlook,27,22447,1554,2718,1878,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",https://onlook.com,2244,466,22,0.06922974116808482,0.12108522296966187,0.0836637412571836,0.09088810812338335,2016-12-27T00:00:00Z,2025-06-28T14:36:24Z,2025-07-17T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,2244,815,main,Apache-2.0,['ai'],public,https://onlook.com,popular,moderate,developing,0.3882211431371675,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
SuperClaude-Org/SuperClaude_Framework,SuperClaude-Org,SuperClaude_Framework,https://github.com/SuperClaude-Org/SuperClaude_Framework,28,15411,1371,245,103,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",https://superclaude.netlify.app/,1541,411,15,0.0889624294335215,0.015897735383816756,0.006683537732788268,4.291525494377299e-05,2017-03-17T00:00:00Z,2024-09-18T14:36:24Z,2024-11-24T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1541,73,main,Apache-2.0,['framework'],public,https://superclaude.netlify.app/,popular,low,developing,0.2862890143404062,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
MiniMax-AI/MiniMax-01,MiniMax-AI,MiniMax-01,https://github.com/MiniMax-AI/MiniMax-01,29,3139,289,53,13,"The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model based on Linear Attention",https://www.minimax.io/,313,86,3,0.09206753743230328,0.016884358075820324,0.00414144632048423,0.0,2018-04-07T00:00:00Z,2024-12-15T14:36:24Z,2025-02-23T14:36:24Z,JavaScript,True,True,True,True,False,False,False,False,313,15,main,Apache-2.0,[],public,https://www.minimax.io/,established,minimal,growing,0.2938515450780503,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
windmill-labs/windmill,windmill-labs,windmill,https://github.com/windmill-labs/windmill,30,14570,786,6416,5267,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",https://windmill.dev,1457,235,14,0.05394646533973919,0.4403568977350721,0.3614962251201098,0.3886579383415875,2021-12-06T00:00:00Z,2025-09-07T14:36:24Z,2025-08-25T14:36:24Z,Go,True,True,True,True,False,False,False,False,1457,1924,main,BSD-3-Clause,"['ai', 'web']",public,https://windmill.dev,popular,very_high,developing,0.7526286890871654,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
Skyvern-AI/skyvern,Skyvern-AI,skyvern,https://github.com/Skyvern-AI/skyvern,31,14240,1196,3304,3091,Automate browser-based workflows with LLMs and Computer Vision,https://www.skyvern.com,1424,358,14,0.08398876404494382,0.23202247191011235,0.21706460674157305,0.21273706495405842,2021-06-20T00:00:00Z,2025-06-30T14:36:24Z,2025-05-07T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1424,991,main,MIT,[],public,https://www.skyvern.com,popular,high,developing,0.6546488764044944,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,https://github.com/triggerdotdev/trigger.dev,32,12252,811,2408,1854,Trigger.dev – build and deploy fully‑managed AI agents and workflows,https://trigger.dev/changelog,1225,243,12,0.06619327456741757,0.19653934051583416,0.15132223310479923,0.16225692508015416,2016-02-24T00:00:00Z,2025-06-01T14:36:24Z,2025-06-08T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1225,722,main,MIT,['ai'],public,https://trigger.dev/changelog,popular,moderate,developing,0.5071335292197192,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
keephq/keep,keephq,keep,https://github.com/keephq/keep,33,10658,1053,5229,2911,The open-source AIOps and alert management platform,https://keephq.dev,1065,315,10,0.09879902420716832,0.4906173766185025,0.27312816663539125,0.3696540721920548,2017-03-15T00:00:00Z,2025-08-11T14:36:24Z,2025-06-20T14:36:24Z,Python,True,True,True,True,False,False,False,False,1065,1568,main,Apache-2.0,['ai'],public,https://keephq.dev,popular,high,developing,0.9620191405516982,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
explodinggradients/ragas,explodinggradients,ragas,https://github.com/explodinggradients/ragas,34,10681,1070,2219,1129,Supercharge Your LLM Application Evaluations 🚀,https://docs.ragas.io,1068,321,10,0.10017788596573354,0.20775208313828294,0.10570171332272259,0.14509811314599463,2020-01-15T00:00:00Z,2025-06-13T14:36:24Z,2025-04-04T14:36:24Z,Python,True,True,True,True,False,False,False,False,1068,665,main,MIT,[],public,https://docs.ragas.io,popular,moderate,developing,0.5713697219361484,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
activeloopai/deeplake,activeloopai,deeplake,https://github.com/activeloopai/deeplake,35,8812,677,3006,2552,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",https://activeloop.ai,881,203,8,0.07682705401724921,0.34112573763050386,0.28960508397639584,0.303320970154491,2019-01-13T00:00:00Z,2025-08-19T14:36:24Z,2025-07-15T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,881,901,main,MIT,"['ai', 'database']",public,https://activeloop.ai,established,high,developing,0.7929868361325466,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
hyperdxio/hyperdx,hyperdxio,hyperdx,https://github.com/hyperdxio/hyperdx,36,8847,307,1112,955,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",https://hyperdx.io/,884,92,8,0.03470102859726461,0.1256923250819487,0.10794619645077427,0.10529503939281494,2018-01-13T00:00:00Z,2025-04-09T14:36:24Z,2025-04-06T14:36:24Z,JavaScript,True,True,True,True,False,False,False,False,884,333,main,Apache-2.0,"['cli', 'monitoring']",public,https://hyperdx.io/,established,moderate,developing,0.3126031423081271,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
highlight/highlight,highlight,highlight,https://github.com/highlight/highlight,37,8656,456,9845,7427,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",https://app.highlight.io,865,136,8,0.05268022181146026,1.1373613678373382,0.8580175600739371,0.9838572368174374,2020-03-04T00:00:00Z,2025-08-21T14:36:24Z,2025-08-21T14:36:24Z,Go,True,True,True,True,False,False,False,False,865,2953,main,MIT,['monitoring'],public,https://app.highlight.io,established,very_high,developing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
getlago/lago,getlago,lago,https://github.com/getlago/lago,38,8446,441,514,361,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",https://www.getlago.com,844,132,8,0.05221406582997869,0.06085721051385271,0.042742126450390716,0.04044580772840785,2019-08-13T00:00:00Z,2025-05-26T14:36:24Z,2025-07-26T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,844,154,main,MIT,['api'],public,https://www.getlago.com,established,low,developing,0.24807009235140895,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8958333333333335,1.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
paradedb/paradedb,paradedb,paradedb,https://github.com/paradedb/paradedb,39,7730,273,3008,2328,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",https://paradedb.com,773,81,7,0.035316946959896504,0.3891332470892626,0.30116429495472186,0.3330262937147082,2018-03-06T00:00:00Z,2025-08-04T14:36:24Z,2025-06-18T14:36:24Z,Rust,True,True,True,True,False,False,False,False,773,902,main,MIT,['database'],public,https://paradedb.com,established,high,developing,0.7160931435963778,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,1.0,0,0.5862068965517242,0.5862068965517241,0.5862068965517242
firezone/firezone,firezone,firezone,https://github.com/firezone/firezone,40,7506,334,9831,7326,Enterprise-ready zero-trust access platform built on WireGuard®.,https://www.firezone.dev,750,100,7,0.04449773514521716,1.3097521982414069,0.9760191846522782,1.0,2020-11-05T00:00:00Z,2025-09-06T14:36:24Z,2025-08-27T14:36:24Z,Rust,True,True,True,True,False,False,False,False,750,2949,main,MIT,[],public,https://www.firezone.dev,established,very_high,developing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
growthbook/growthbook,growthbook,growthbook,https://github.com/growthbook/growthbook,41,6847,596,4516,3321,Open Source Feature Flagging and A/B Testing Platform,https://www.growthbook.io,684,178,6,0.08704542135241712,0.6595589309186505,0.48502994011976047,0.5595768041231832,2020-12-24T00:00:00Z,2025-09-09T14:36:24Z,2025-08-29T14:36:24Z,Go,True,True,True,True,False,False,False,False,684,1354,main,MIT,[],public,https://www.growthbook.io,established,high,growing,0.6484591792025705,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
